,launch_angle,launch_speed,estimated_ba_using_speedangle,events
923,19,103.1,0.546,field_out
966,6,88.6,0.449,double
1026,-16,95.3,0.146,field_out
1107,-19,63.7,0.054,field_out
1211,-6,111.1,0.414,field_out
1302,30,80.9,0.071,field_out
1420,-4,85.1,0.117,single
1489,-3,89.4,0.251,fielders_choice_out
1605,26,78.9,0.349,field_out
1626,22,108.9,0.963,double
1277,-17,70.5,0.049,field_out
1451,2,112.5,0.623,field_out
1537,13,101.7,0.886,single
1817,21,104.6,0.774,double
2301,-8,80.1,0.1,field_out
2393,27,85.9,0.089,triple
3094,-11,76.0,0.063,field_out
1995,1,93.3,0.34,single
2146,6,111.2,0.671,single
2165,-3,84.9,0.151,field_out
2578,18,112.9,0.849,double
2764,-5,83.6,0.16,field_out
1161,-36,62.3,0.074,field_out
1481,19,91.7,0.446,field_out
1741,7,81.2,0.329,field_error
2110,11,101.3,0.843,single
2293,0,87.4,0.289,force_out
2548,1,99.3,0.48,force_out
1544,18,76.9,0.943,single
1665,3,108.7,0.569,single
1714,-68,56.5,0.191,field_out
2381,7,74.2,0.24,grounded_into_double_play
3035,72,17.9,0.06,field_out
3248,35,77.5,0.063,double
1790,-8,77.5,0.083,field_out
2659,31,99.6,0.523,home_run
2492,58,93.5,0.011,field_out
2855,-9,67.4,0.077,field_out
2458,30,102.3,0.709,home_run
2163,24,103.2,0.789,home_run
2769,23,102.4,0.637,field_out
3085,5,85.9,0.4,field_out
2846,7,98.9,0.583,field_out
3034,9,91.6,0.54,single
2754,-9,55.1,0.077,field_out
2973,20,105.4,0.714,double
3129,54,85.6,0.023,field_out
1778,0,99.3,0.429,force_out
1935,4,77.7,0.209,grounded_into_double_play
2404,6,107.1,0.646,single
3023,32,100.9,0.574,triple
1393,-18,91.7,0.109,field_out
1465,19,77.2,0.969,single
1634,-5,108.8,0.449,single
1949,2,104.8,0.486,single
1974,75,48.5,0.0,field_out
2703,31,83.8,0.031,field_out
2954,1,86.3,0.3,field_out
1158,49,101.8,0.02,field_out
1255,18,83.3,0.931,single
1478,4,96.9,0.511,field_out
1669,7,92.5,0.571,field_out
3375,18,102.7,0.469,field_out
144,-57,71.2,0.249,single
250,-6,98.9,0.257,single
340,27,96.4,0.277,field_error
475,10,89.8,0.614,single
512,11,101.1,0.843,single
585,2,68.3,0.123,single
604,51,91.6,0.009,field_out
676,48,87.7,0.011,field_out
3191,-6,92.1,0.229,field_out
1000,51,88.2,0.011,field_out
1160,27,69.9,0.929,single
551,3,60.3,0.12,field_out
673,42,94.8,0.023,sac_fly
749,21,86.1,0.457,double
778,17,77.9,0.903,single
813,25,99.4,0.471,double
898,29,90.7,0.077,double
1135,37,73.0,0.343,field_out
1237,18,104.7,0.589,single
1373,47,87.2,0.009,field_out
1473,-53,59.0,0.223,field_out
1363,-10,66.9,0.071,field_out
2124,14,80.7,0.771,single
2732,20,107.9,0.849,single
2958,20,95.0,0.3,single
3175,-68,67.4,0.243,field_out
1723,-48,71.0,0.177,single
2521,-63,56.6,0.277,single
2750,-9,105.2,0.303,single
3044,32,97.8,0.343,triple
2304,18,101.4,0.389,field_out
2639,47,85.0,0.017,field_out
3107,-34,81.5,0.049,field_out
1535,19,101.0,0.42,field_out
1582,1,103.2,0.397,single
1749,9,90.3,0.56,field_out
1917,-4,103.1,0.357,single
2158,39,88.3,0.006,field_out
2540,0,97.8,0.454,single
2051,31,101.7,0.714,field_out
2174,47,92.5,0.006,field_out
2361,35,83.0,0.02,field_out
2636,15,39.3,0.243,field_out
2414,-18,110.4,0.203,grounded_into_double_play
2590,-47,71.6,0.157,single
2172,4,103.6,0.554,single
2839,-13,104.9,0.257,field_out
2020,69,69.7,0.0,field_out
2128,13,94.4,0.92,double
2599,24,51.8,0.22,field_out
371,20,89.7,0.397,double
496,39,94.9,0.04,field_out
538,76,63.7,0.006,field_out
590,-9,18.9,0.24,sac_bunt
630,44,79.4,0.034,field_out
747,18,93.6,0.5,single
767,3,105.2,0.523,triple
971,26,83.9,0.131,field_out
805,-10,99.2,0.289,field_out
868,-11,66.9,0.066,field_out
896,-14,83.5,0.106,field_out
1192,47,104.7,0.111,field_out
1200,-36,88.4,0.066,field_out
1035,6,107.4,0.646,field_out
1562,61,76.2,0.011,field_out
1447,-27,77.3,0.049,field_out
1745,29,69.4,0.906,single
2003,-15,76.0,0.037,field_out
1905,70,72.2,0.0,field_out
2726,22,104.1,0.749,home_run
2918,-1,107.3,0.477,single
3311,-10,100.4,0.254,field_error
2771,2,87.1,0.331,double
3071,-4,77.2,0.111,field_out
3246,-23,109.1,0.157,field_out
931,-7,99.1,0.246,grounded_into_double_play
1454,-70,50.0,0.163,single
1607,-40,83.7,0.074,field_out
1865,17,102.1,0.503,field_out
1461,4,100.1,0.54,grounded_into_double_play
2303,10,86.1,0.523,field_out
2738,17,106.4,0.58,single
2808,22,98.6,0.42,field_out
3110,9,89.5,0.594,single
2319,-10,90.9,0.174,grounded_into_double_play
1368,60,96.9,0.017,field_out
1417,14,99.1,0.843,single
1730,54,93.1,0.006,field_out
2478,20,103.5,0.563,double
2821,10,87.5,0.554,single
2835,10,113.3,0.849,double
228,26,89.4,0.106,single
2296,-9,78.8,0.091,fielders_choice
2339,48,76.9,0.066,field_out
2592,52,80.9,0.031,single
1094,-5,94.6,0.274,double
1190,10,104.2,0.82,single
283,35,87.7,0.026,field_out
399,20,94.2,0.309,field_out
1351,51,94.6,0.003,field_out
1559,39,96.1,0.071,field_out
1631,14,65.3,0.3,field_out
1750,26,97.6,0.429,double
517,-20,81.3,0.051,field_out
1948,29,93.1,0.126,field_out
1984,10,82.8,0.5,field_out
2151,42,97.2,0.057,double
2481,-1,79.6,0.174,field_out
631,36,78.7,0.04,field_out
677,11,91.8,0.749,double
880,-9,78.4,0.091,field_out
947,4,99.3,0.503,single
2744,-19,77.4,0.054,force_out
1043,18,113.2,0.849,double
1163,-19,90.2,0.094,field_out
1216,9,104.2,0.757,double
1274,29,102.3,0.737,field_out
1331,30,100.1,0.603,home_run
1401,1,102.7,0.397,fielders_choice
1232,1,106.2,0.469,field_out
1438,18,90.0,0.666,field_out
1583,-16,98.1,0.206,single
1988,54,91.8,0.006,field_out
2433,27,78.7,0.251,field_out
2685,29,99.7,0.594,field_out
2560,21,90.7,0.283,field_out
2723,6,90.3,0.503,field_out
2269,-15,107.3,0.246,grounded_into_double_play
3210,-48,54.2,0.214,single
1509,80,79.0,0.003,field_out
1652,-2,87.6,0.234,single
1728,42,95.1,0.023,home_run
1979,71,83.4,0.003,field_out
3272,26,95.4,0.237,home_run
2620,42,103.9,0.26,field_out
3327,-9,69.4,0.066,field_out
1876,-5,98.4,0.26,field_out
1938,-4,108.4,0.437,single
2109,-12,95.4,0.163,field_out
1844,73,89.8,0.009,field_out
1970,18,40.8,0.229,single
51,34,84.4,0.011,field_out
60,35,100.6,0.429,field_out
76,12,102.2,0.9,single
334,-15,97.7,0.214,grounded_into_double_play
427,15,97.7,0.751,single
206,57,61.3,0.02,field_out
254,21,96.3,0.257,field_out
294,22,90.0,0.249,field_out
457,11,72.9,0.323,field_out
663,82,88.5,0.006,field_out
721,2,95.5,0.429,single
341,23,92.3,0.166,field_out
352,50,70.5,0.197,field_out
388,70,95.8,0.006,field_out
1074,-16,95.0,0.146,field_out
445,-5,104.4,0.351,field_out
603,-50,50.3,0.229,field_out
1318,-3,91.7,0.294,field_out
1406,-35,54.3,0.131,field_out
1463,-9,104.8,0.303,single
657,29,73.3,0.671,double_play
748,-19,93.8,0.089,fielders_choice
764,40,90.4,0.009,field_out
1792,-4,72.9,0.126,field_out
2155,18,98.9,0.403,field_out
2226,40,84.1,0.011,field_out
941,34,91.0,0.06,field_out
1024,12,84.0,0.623,single
1202,-18,79.7,0.057,field_error
2382,-10,106.9,0.294,field_out
3075,-21,98.6,0.134,field_out
2190,32,96.5,0.211,home_run
2775,26,100.8,0.686,home_run
3009,1,103.5,0.429,field_out
3187,32,85.3,0.026,field_out
3239,38,99.3,0.166,field_out
1776,40,84.7,0.011,field_out
3118,39,97.0,0.103,field_out
3167,-22,108.8,0.171,field_out
1879,51,87.1,0.017,field_out
2114,-20,81.8,0.057,single
3244,52,96.2,0.003,field_out
993,45,93.1,0.003,field_out
1093,35,81.2,0.04,field_out
1151,-6,89.4,0.194,field_out
1787,6,104.4,0.577,field_out
1850,17,88.9,0.829,field_out
2028,25,96.6,0.346,double
1647,28,91.6,0.1,field_out
2403,-67,70.6,0.26,field_out
2870,-6,98.6,0.257,single
3319,-3,108.3,0.451,single
146,16,91.9,0.823,single
2057,59,67.5,0.011,field_out
2313,8,106.3,0.703,single
2411,9,100.8,0.7,single
2824,-4,88.8,0.223,field_out
310,36,72.1,0.471,field_out
375,22,104.4,0.749,double
504,33,103.1,0.683,home_run
671,82,68.1,0.003,field_out
644,9,59.9,0.203,double_play
693,28,97.1,0.354,double
763,-2,75.7,0.134,field_out
794,31,104.7,0.911,home_run
888,-25,33.4,0.246,single
754,-22,96.7,0.109,field_out
803,-17,64.3,0.051,field_out
1052,0,90.5,0.32,single
1317,-32,100.0,0.08,field_out
991,-21,74.4,0.063,field_out
1029,-39,66.6,0.114,force_out
1398,29,107.2,0.951,home_run
1491,-71,47.2,0.149,field_out
1560,-32,93.2,0.066,grounded_into_double_play
1846,10,104.6,0.849,single
1608,34,88.1,0.023,field_out
1788,12,104.9,0.894,single
1878,40,99.3,0.111,field_out
1967,40,98.6,0.111,field_out
1943,55,91.8,0.006,field_out
2268,30,88.4,0.054,field_out
3019,5,92.8,0.517,single
2594,0,102.5,0.423,grounded_into_double_play
2933,15,87.2,0.957,single
3165,8,101.3,0.617,double
3381,2,86.6,0.331,single
2136,0,97.0,0.397,single
2325,-23,70.2,0.063,field_out
2978,-60,57.1,0.274,field_out
3147,-10,101.6,0.266,field_out
3126,4,76.5,0.24,force_out
1319,15,102.7,0.671,single
1429,-58,52.3,0.257,field_out
1464,77,37.1,0.009,field_out
1550,-15,99.3,0.22,single
2006,19,84.3,0.831,single
2306,-5,64.5,0.103,field_out
2629,14,105.7,0.717,double
2790,-15,72.3,0.06,grounded_into_double_play
3405,12,86.9,0.729,single
2929,38,85.9,0.02,field_out
3348,67,75.3,0.003,field_out
184,4,92.8,0.483,field_out
236,39,90.3,0.009,sac_fly
265,1,98.9,0.48,double
269,13,106.0,0.811,single
476,21,93.5,0.251,double
547,9,106.3,0.754,field_out
1341,-1,97.4,0.394,grounded_into_double_play
1499,44,27.2,0.166,force_out
1568,7,107.4,0.711,single
633,-66,48.3,0.157,field_out
646,-38,84.5,0.071,field_out
1639,2,100.4,0.486,force_out
1941,13,106.1,0.811,single
2486,39,85.1,0.017,field_out
2911,22,101.1,0.526,double
808,-14,101.9,0.186,field_out
884,12,76.9,0.394,field_out
895,7,83.4,0.406,field_out
1090,56,81.3,0.02,field_out
958,38,70.1,0.557,field_out
1075,70,75.4,0.003,field_out
1270,-7,103.6,0.311,field_out
1418,2,102.9,0.486,field_out
1201,20,102.4,0.526,field_out
1311,23,25.1,0.263,sac_bunt
1358,-5,61.8,0.109,single
1470,-47,52.0,0.229,field_out
1933,34,69.1,0.78,single
2345,-12,76.6,0.08,single
2831,-17,87.2,0.117,field_out
2948,26,100.7,0.686,home_run
3141,-42,70.6,0.109,single
2224,21,61.4,0.426,field_out
2398,19,73.9,0.946,single
2505,85,74.0,0.0,field_out
3201,15,79.3,0.794,single
1729,0,103.0,0.394,field_out
2112,31,94.1,0.186,field_out
2237,49,91.4,0.011,field_out
1836,-21,82.5,0.057,field_out
2092,-4,84.9,0.117,single
2171,-31,74.3,0.074,field_out
2515,66,78.2,0.0,field_out
2748,34,101.9,0.554,home_run
1619,29,85.7,0.057,field_out
1859,36,84.6,0.009,field_out
1927,8,99.1,0.586,single
2357,1,97.9,0.449,field_out
2872,31,96.7,0.326,home_run
3082,-11,95.2,0.163,fielders_choice
1874,-5,92.1,0.26,single
2463,-7,94.9,0.206,single
3334,34,102.9,0.629,home_run
2652,22,100.1,0.474,double
2153,-17,93.7,0.109,grounded_into_double_play
44,6,99.3,0.534,single
71,25,78.0,0.534,single
129,-3,66.4,0.106,field_out
172,9,104.5,0.757,field_out
186,5,82.0,0.337,field_out
386,28,74.6,0.554,field_out
363,10,89.2,0.631,field_out
397,-15,81.3,0.086,field_out
623,47,83.8,0.02,field_out
737,1,94.4,0.357,single
802,63,77.0,0.0,field_out
498,6,74.0,0.217,force_out
553,22,96.9,0.317,field_out
619,14,83.1,0.811,single
781,31,107.9,0.98,home_run
845,-52,82.8,0.194,field_out
1054,10,96.9,0.783,single
1085,17,82.8,0.963,single
1286,-59,75.4,0.297,field_out
858,40,81.0,0.011,field_out
1089,15,108.0,0.654,single
1147,17,107.6,0.68,field_out
1170,14,95.5,0.897,single
1939,56,58.2,0.02,field_out
1208,62,70.5,0.011,field_out
1288,-11,99.4,0.246,single
1333,40,103.3,0.311,home_run
1685,-19,107.0,0.171,field_out
1744,-19,87.5,0.097,field_out
2336,23,79.8,0.66,single
2421,65,88.0,0.006,field_out
3077,40,76.1,0.097,field_out
2688,28,105.5,0.931,home_run
2981,-36,66.0,0.071,single
3303,45,81.0,0.02,field_out
3109,28,102.8,0.814,home_run
4045,66,44.4,0.003,field_out
2614,-8,89.9,0.177,grounded_into_double_play
3656,-20,98.1,0.166,grounded_into_double_play
3959,13,103.5,0.871,single
2968,27,97.3,0.34,field_out
4313,37,102.3,0.391,field_out
2918,18,96.2,0.426,field_out
3607,-31,79.7,0.049,grounded_into_double_play
3849,-24,79.4,0.043,field_out
3987,27,92.7,0.154,field_out
491,33,108.9,0.957,home_run
509,35,103.0,0.537,home_run
166,59,90.8,0.009,field_out
250,13,99.9,0.889,single
351,26,98.7,0.503,field_out
575,9,86.8,0.511,field_out
637,21,100.5,0.48,field_out
747,23,100.7,0.571,field_out
754,15,97.9,0.751,single
374,24,104.3,0.863,field_out
842,-10,91.5,0.189,field_out
928,31,96.9,0.326,field_out
982,37,87.5,0.017,field_out
711,-18,100.2,0.177,grounded_into_double_play
793,-3,94.3,0.286,single
833,10,95.8,0.734,single
838,13,75.4,0.417,field_out
1068,-4,75.4,0.12,field_out
1157,1,102.1,0.454,field_out
1194,46,81.2,0.029,field_out
947,68,89.3,0.006,field_out
970,53,92.1,0.006,field_out
1163,5,83.3,0.383,field_out
1378,32,99.9,0.497,field_out
1482,-7,73.8,0.091,field_out
1697,8,105.7,0.703,field_out
1752,3,111.1,0.614,field_out
1967,-37,76.1,0.063,field_out
2104,10,98.5,0.783,field_out
2250,59,89.5,0.02,double
2652,50,94.4,0.009,field_out
1818,-5,95.3,0.274,field_out
2130,19,100.1,0.369,double
2184,47,101.5,0.046,sac_fly
2834,12,90.0,0.811,single
4328,16,84.5,0.951,single
2671,2,75.1,0.16,grounded_into_double_play
3219,50,96.5,0.006,field_out
3686,48,76.9,0.066,single
3878,2,97.5,0.471,field_error
4407,24,91.2,0.137,double
3542,19,89.9,0.497,single
3848,26,93.3,0.174,field_out
4496,50,96.2,0.006,field_out
980,68,77.5,0.006,field_out
1014,26,93.9,0.177,double
1146,31,87.2,0.046,field_out
1261,63,95.1,0.006,field_out
2753,73,80.7,0.0,field_out
2371,-4,91.9,0.283,field_out
224,-40,57.7,0.126,field_out
293,39,102.7,0.32,field_out
316,7,71.4,0.254,field_out
2701,11,63.9,0.223,field_out
3132,-28,94.8,0.071,field_out
3671,50,77.6,0.063,field_out
518,22,101.7,0.563,field_out
533,19,105.9,0.703,home_run
601,14,81.9,0.766,double
682,34,90.0,0.037,field_out
2657,26,92.5,0.174,field_out
2850,-19,102.0,0.143,field_out
3487,21,93.0,0.251,double
3914,21,69.6,0.9,single
2034,19,75.7,0.957,single
818,20,79.7,0.886,field_out
873,21,92.5,0.251,field_out
2108,-55,74.9,0.286,single
3098,-6,96.2,0.257,field_out
935,21,93.0,0.251,field_out
1148,-5,86.1,0.174,field_out
1232,26,103.8,0.891,home_run
592,17,83.7,0.966,single
780,-5,100.4,0.291,field_out
1285,5,104.5,0.557,field_out
1353,30,97.4,0.343,field_out
954,4,63.5,0.154,field_out
1071,38,106.5,0.64,home_run
1101,-33,59.0,0.069,field_error
1387,8,100.0,0.626,single
1464,8,100.0,0.626,field_out
1519,-19,78.0,0.057,field_out
1862,28,77.5,0.337,field_out
1974,-2,100.1,0.346,single
2026,3,107.9,0.546,field_out
2221,-21,92.4,0.1,field_out
1878,48,71.5,0.2,field_out
2063,30,60.4,0.551,field_out
2500,24,99.5,0.56,home_run
2292,55,86.2,0.029,field_out
2426,-12,100.7,0.191,single
2678,-51,36.0,0.186,single
2784,1,89.6,0.343,single
3091,-55,65.5,0.26,field_out
4090,-15,94.6,0.163,field_out
2768,-15,69.9,0.057,grounded_into_double_play
3100,28,88.7,0.071,field_out
3514,-67,53.6,0.206,single
4018,12,92.2,0.846,single
1761,60,92.6,0.009,field_out
1988,43,89.2,0.003,field_out
2133,43,83.0,0.003,field_out
2800,-45,84.1,0.091,field_out
3066,-28,62.5,0.051,field_out
1753,26,63.9,0.783,single
2093,-49,76.0,0.18,field_out
2352,16,84.5,0.951,single
3289,22,67.3,0.846,single
2349,41,79.5,0.011,field_out
3246,71,65.7,0.003,field_out
3879,-6,81.2,0.1,field_out
4404,20,97.4,0.297,field_out
3904,-1,97.4,0.394,field_out
931,33,90.1,0.034,field_out
1056,-35,86.2,0.066,single
1269,51,97.1,0.006,field_out
48,-33,76.6,0.071,field_out
79,21,86.0,0.457,sac_fly
104,-8,96.1,0.211,triple
163,3,68.9,0.14,field_error
178,25,62.0,0.649,field_out
216,-7,65.5,0.091,double
1557,-1,99.4,0.383,force_out
1807,9,86.0,0.469,single
1970,-22,98.7,0.14,force_out
2313,8,90.7,0.477,single
442,46,84.6,0.014,field_out
2395,16,80.4,0.9,double_play
3086,13,83.2,0.686,single
3458,11,87.1,0.614,single
3698,78,90.3,0.011,field_out
464,37,88.8,0.026,field_out
548,-13,93.3,0.134,single
1441,29,87.7,0.063,field_out
1535,33,87.5,0.029,field_out
844,0,71.6,0.114,grounded_into_double_play
912,13,83.5,0.686,single
1791,37,93.1,0.06,field_out
2881,60,98.4,0.014,field_out
1189,3,98.9,0.486,field_out
1383,41,90.9,0.006,field_out
1765,34,84.4,0.011,field_out
3615,-20,107.2,0.169,field_out
3764,1,74.4,0.149,field_out
4373,-38,67.5,0.1,field_out
3125,-30,87.7,0.077,field_out
2285,10,78.7,0.406,single
4379,21,100.0,0.443,field_out
3894,-1,98.4,0.391,field_out
4068,-7,83.8,0.151,field_out
4142,16,101.0,0.554,field_out
3855,43,80.0,0.02,field_out
4538,2,103.0,0.486,single
2348,45,95.1,0.006,field_out
4145,1,108.3,0.531,field_out
2,-12,92.4,0.14,field_out
43,-13,97.6,0.217,single
91,-11,87.5,0.117,field_out
4503,45,82.1,0.009,field_out
1956,12,103.0,0.914,single
2407,29,92.4,0.109,sac_fly
4032,-1,98.0,0.391,single
156,9,107.3,0.749,single
259,36,91.4,0.069,field_out
375,33,97.6,0.297,field_out
23,28,99.3,0.531,field_out
94,25,79.0,0.503,single
113,28,95.7,0.271,field_out
428,-30,75.9,0.074,field_out
588,9,100.1,0.711,single
644,46,90.1,0.006,field_out
684,-5,95.2,0.274,field_out
918,-27,104.1,0.14,force_out
991,-6,71.6,0.117,force_out
1182,13,105.7,0.811,single
776,42,34.6,0.16,field_error
945,42,35.6,0.157,force_out
1024,13,96.0,0.931,single
1533,4,55.8,0.109,field_out
1709,-23,100.3,0.137,field_out
1124,21,86.6,0.369,field_out
1195,-30,76.3,0.074,field_out
2009,9,84.8,0.483,double_play
2798,0,87.5,0.289,single
2181,81,86.8,0.009,field_out
3150,29,111.6,0.991,home_run
3388,19,101.6,0.449,double
3214,61,88.1,0.026,field_out
4325,32,80.5,0.06,field_out
1201,23,78.6,0.683,field_out
1315,44,74.9,0.137,field_out
2731,76,78.7,0.0,field_out
3691,22,83.2,0.526,single
2763,29,94.0,0.197,field_out
3552,41,81.9,0.011,field_out
3039,33,89.8,0.034,field_out
3930,25,99.1,0.471,home_run
3408,19,101.0,0.42,field_out
3836,16,93.4,0.777,single
2536,49,60.9,0.146,field_out
2437,-29,97.5,0.083,field_out
2697,33,73.1,0.423,field_out
1211,-59,72.5,0.3,single
1648,70,79.7,0.006,field_out
2769,11,81.4,0.477,field_out
3783,-1,65.0,0.103,single
3612,-21,107.2,0.166,single
3991,-19,73.5,0.046,field_out
3912,16,80.3,0.9,single
4284,-24,82.8,0.06,field_out
2665,59,83.8,0.02,field_out
2712,28,82.4,0.097,sac_fly
131,15,92.6,0.886,single
2204,24,92.9,0.149,field_out
2618,3,91.0,0.42,single
3745,33,96.1,0.18,field_out
199,29,56.3,0.36,field_out
405,72,83.7,0.003,field_out
395,0,90.0,0.32,force_out
460,9,98.9,0.711,single
520,24,98.6,0.466,field_out
605,-33,83.5,0.046,field_out
766,25,100.5,0.677,home_run
1038,10,88.2,0.603,single
1170,23,83.1,0.369,single
438,-6,91.8,0.229,grounded_into_double_play
731,59,80.1,0.02,field_out
789,14,96.1,0.874,single
997,30,103.6,0.88,home_run
1222,27,103.2,0.866,double
1322,15,110.7,0.717,double
1436,-16,90.6,0.114,field_out
1978,64,69.7,0.006,field_out
2531,28,106.3,0.931,home_run
2978,30,101.4,0.654,home_run
2003,17,92.1,0.666,single
3096,-69,54.2,0.169,field_out
3179,20,84.1,0.72,single
4088,2,60.9,0.106,field_out
4198,21,93.5,0.226,field_out
2099,-59,77.7,0.326,field_out
2699,-63,54.7,0.249,field_out
2889,12,91.9,0.846,double
3383,27,103.3,0.866,home_run
4080,2,98.4,0.471,field_out
4408,30,99.5,0.503,home_run
1707,22,79.4,0.791,double
2643,5,102.4,0.574,single
2830,22,97.1,0.317,double
2259,-12,93.2,0.131,field_out
4186,22,78.7,0.791,single
3443,10,104.8,0.849,field_out
3243,12,94.4,0.834,double
1382,4,111.5,0.629,single
2210,4,94.0,0.489,single
2360,-8,107.6,0.323,field_out
3193,3,52.6,0.103,field_out
3366,32,88.1,0.034,field_out
3692,9,101.2,0.7,single
3961,-50,69.3,0.209,single
1472,42,97.6,0.074,field_out
1949,36,93.9,0.077,double
2460,29,109.5,0.989,home_run
2794,-33,77.0,0.071,field_out
4358,-6,101.5,0.269,grounded_into_double_play
147,-5,100.1,0.291,single
171,-47,48.2,0.22,field_out
1652,67,82.3,0.003,field_out
2564,38,84.5,0.009,field_out
302,9,68.0,0.251,field_out
396,14,93.5,0.934,single
421,54,58.1,0.034,field_out
425,26,87.3,0.117,field_out
97,-18,63.6,0.057,field_out
138,-20,95.9,0.114,field_out
233,-51,70.8,0.217,field_out
301,12,83.2,0.594,single
471,-17,95.3,0.12,field_out
655,7,110.3,0.734,double
699,32,88.0,0.034,field_out
774,-14,90.7,0.131,force_out
810,15,65.8,0.371,single
465,-82,51.5,0.131,field_out
546,-29,57.7,0.071,double
661,46,94.9,0.009,sac_fly
847,19,77.2,0.969,single
957,-54,63.1,0.257,single
1283,-38,76.2,0.069,field_out
1266,-20,89.8,0.103,field_out
1390,-4,74.4,0.137,single
1690,-35,90.1,0.063,field_out
1813,32,99.0,0.363,home_run
2075,4,102.2,0.577,field_out
2446,10,70.0,0.28,field_out
1917,68,66.3,0.0,field_out
2219,28,87.7,0.074,field_out
3301,27,71.5,0.874,single
3589,36,78.4,0.06,field_out
4427,-29,84.8,0.074,field_out
3401,16,76.8,0.82,single
2869,-18,70.5,0.04,force_out
3047,37,98.6,0.203,field_out
3479,2,111.6,0.609,single
2152,38,64.7,0.586,field_out
3231,80,57.4,0.003,field_out
3964,17,88.6,0.829,single
2154,59,89.0,0.02,field_out
2951,-34,89.2,0.06,field_out
3490,12,101.2,0.9,double
1655,-15,87.7,0.123,single
1829,50,87.4,0.014,field_out
2438,61,89.2,0.023,field_out
61,9,96.6,0.66,field_out
122,50,82.4,0.026,field_out
136,-8,91.3,0.2,field_out
2826,1,104.8,0.457,field_out
4275,27,100.8,0.7,field_out
187,-26,83.6,0.083,field_out
367,13,92.1,0.926,double
1215,-5,93.1,0.269,field_out
1437,2,96.6,0.437,field_out
1506,13,99.1,0.894,double
1699,6,88.2,0.451,single
1902,18,101.3,0.389,field_out
915,9,79.8,0.429,field_out
2142,53,64.8,0.097,field_out
4038,-6,75.4,0.109,field_out
828,23,105.2,0.889,home_run
1096,8,77.1,0.3,single
1219,6,96.3,0.52,single
1297,36,105.2,0.657,home_run
1105,63,67.3,0.003,field_out
1401,79,85.1,0.006,field_out
1577,-17,90.0,0.109,field_out
1786,28,93.9,0.157,double
1886,27,98.2,0.466,triple
2329,18,87.3,0.746,single
2945,17,93.6,0.577,single
2030,83,84.8,0.003,field_out
2223,51,88.0,0.011,field_out
3288,-5,112.9,0.443,field_out
3477,76,83.2,0.003,field_out
4347,-66,53.0,0.203,field_out
3967,26,101.7,0.794,field_out
4224,80,80.3,0.003,field_out
3677,50,74.5,0.106,field_out
3817,-10,101.6,0.266,field_out
4128,-16,88.6,0.12,field_out
3375,-6,102.9,0.323,field_out
3804,13,67.4,0.32,field_out
3976,78,78.6,0.0,field_out
2828,32,87.9,0.034,field_out
3635,33,89.9,0.034,field_out
4311,76,93.9,0.009,field_out
2445,85,79.9,0.003,field_out
2892,5,86.4,0.4,force_out
3074,47,97.9,0.017,field_out
127,36,87.9,0.026,sac_fly
144,2,109.0,0.569,field_out
1727,26,108.2,0.963,home_run
1856,20,88.8,0.443,single
2123,18,103.1,0.469,double
2443,42,87.8,0.0,field_out
2906,-45,77.1,0.117,field_out
247,1,82.5,0.231,field_out
292,-35,84.7,0.063,field_out
369,-13,66.2,0.06,field_out
3404,32,88.7,0.034,field_out
4462,32,85.1,0.026,field_out
424,14,74.2,0.466,field_out
492,-4,86.2,0.169,field_out
550,-31,78.0,0.06,field_out
1831,-7,85.5,0.169,field_out
2116,-18,74.7,0.051,field_out
587,50,78.7,0.057,field_out
1080,-16,71.4,0.049,field_out
1099,24,101.0,0.626,triple
2450,59,74.1,0.026,field_out
2595,31,84.9,0.046,field_out
3339,-45,23.6,0.194,sac_bunt
3687,-71,66.5,0.217,single
1210,-1,88.8,0.28,field_out
1277,19,92.8,0.454,field_out
545,33,102.5,0.683,home_run
651,30,104.6,0.906,home_run
785,29,84.9,0.063,sac_fly
1007,14,87.9,0.949,single
1077,63,84.2,0.011,field_out
1272,19,85.1,0.786,single
1554,4,107.4,0.549,field_out
1767,-48,75.4,0.151,field_out
1877,55,82.3,0.017,field_out
1381,-31,76.6,0.069,field_out
1596,67,71.2,0.0,field_out
1876,7,87.6,0.48,field_out
2404,21,91.2,0.283,field_out
2867,41,96.6,0.08,field_out
3030,17,84.0,0.966,single
2182,-5,101.2,0.286,grounded_into_double_play
3498,55,81.3,0.023,field_out
4529,44,103.7,0.183,home_run
1868,28,89.1,0.071,field_out
2213,-53,80.2,0.237,single
3547,-18,99.0,0.163,grounded_into_double_play
3865,9,93.2,0.583,single
2427,-10,96.3,0.217,field_out
2698,-9,89.7,0.177,fielders_choice
3141,31,87.1,0.046,field_out
3409,-11,100.8,0.209,single
4083,14,101.5,0.749,double
4521,-6,74.5,0.109,field_out
3033,34,84.5,0.011,field_out
3345,19,84.1,0.831,single
4112,-49,61.2,0.223,field_out
2848,1,76.6,0.151,field_out
3213,10,93.4,0.631,single
3613,32,86.1,0.029,field_out
3471,73,74.3,0.0,field_out
3744,26,99.8,0.603,double
3886,30,75.7,0.297,field_out
1724,-42,71.0,0.109,field_out
2189,13,89.2,0.883,single
2304,24,91.8,0.149,field_out
2751,15,105.0,0.674,field_out
3805,11,98.1,0.874,single
4384,0,88.2,0.283,grounded_into_double_play
1552,-57,55.9,0.269,force_out
4370,28,88.5,0.074,field_out
